,country,language,gender,hasAndroidApp,hasIosApp,daysSinceLastLogin,productsListed,productsSold,productsPassRate,productsWished,productsBought,socialProductsLiked,socialNbFollowers,socialNbFollows,OS
82809,Etats-Unis,en,F,False,False,11,0,0,0.0,6,0,0,3,8,Browser
82812,France,fr,F,False,True,363,1,0,0.0,0,0,0,5,8,iOS
82825,Etats-Unis,en,M,False,False,693,0,0,0.0,0,0,3,3,8,Browser
82831,Italie,it,F,False,True,57,0,0,0.0,30,0,0,3,10,iOS
82833,France,fr,F,False,False,123,1,0,0.0,0,0,0,3,8,Browser
82837,France,fr,M,False,False,693,0,0,0.0,2,0,0,3,8,Browser
82839,France,fr,F,False,True,517,0,0,0.0,0,0,187,3,8,iOS
82840,Espagne,es,F,False,False,375,0,0,0.0,1,0,0,3,8,Browser
82842,France,fr,F,False,False,693,0,0,0.0,1,0,0,3,8,Browser
82846,Belgique,fr,F,True,False,51,0,2,100.0,0,0,0,4,8,Android
82851,Danemark,en,M,False,False,442,0,0,0.0,0,0,9,3,8,Browser
82852,Danemark,en,F,False,True,13,0,0,0.0,1,1,9,3,9,iOS
82861,Espagne,es,F,False,True,428,0,0,0.0,33,1,3,6,8,iOS
82862,Etats-Unis,en,F,False,False,371,0,0,0.0,0,0,2,3,8,Browser
82865,Roumanie,en,F,False,True,438,0,0,0.0,1,0,1,3,8,iOS
82866,Monaco,en,F,False,False,91,0,1,0.0,0,0,1,7,8,Browser
82870,Etats-Unis,en,F,False,True,666,0,0,0.0,3,0,4,3,8,iOS
82872,Italie,it,F,False,False,89,0,0,0.0,30,4,14,5,10,Browser
82873,Arabie Saoudite,en,F,True,False,612,0,0,0.0,2,0,7,3,9,Android
82874,France,fr,F,False,True,18,0,0,0.0,0,1,5,4,8,iOS
82882,Royaume-Uni,en,F,False,False,190,0,0,0.0,12,0,0,3,8,Browser
82887,Italie,it,F,False,True,13,0,0,0.0,4,1,44,6,10,iOS
82905,Royaume-Uni,en,F,False,False,18,5,7,100.0,0,0,0,4,8,Browser
82907,Suisse,de,M,False,False,426,0,0,0.0,0,1,0,3,8,Browser
82908,Italie,it,F,True,False,614,0,0,0.0,1,0,0,3,8,Android
82909,Royaume-Uni,en,M,False,False,473,0,0,0.0,53,2,3,6,8,Browser
82910,Suède,en,F,False,False,693,0,0,0.0,0,0,2,3,8,Browser
82912,Etats-Unis,en,F,False,False,67,0,0,0.0,0,0,1,3,8,Browser
82914,France,fr,F,False,True,24,2,0,0.0,0,0,0,3,8,iOS
82926,France,fr,M,False,False,157,0,0,0.0,0,1,0,3,8,Browser
82928,Etats-Unis,en,F,False,False,172,0,0,0.0,0,0,1,3,8,Browser
82940,Belgique,en,F,False,True,11,0,0,0.0,0,3,29,3,8,iOS
82941,Royaume-Uni,en,M,False,False,693,0,0,0.0,0,0,1,3,8,Browser
82970,Italie,it,F,False,False,693,0,0,0.0,0,1,0,3,8,Browser
82979,Italie,it,F,False,False,11,3,1,0.0,12,3,2,8,14,Browser
82997,Etats-Unis,en,F,True,False,532,0,0,0.0,1,0,23,3,8,Android
83004,Allemagne,de,F,False,True,49,0,0,0.0,0,0,140,3,8,iOS
83008,Etats-Unis,en,F,False,False,693,0,0,0.0,0,0,1,3,8,Browser
83010,Espagne,es,F,False,False,437,0,0,0.0,1,0,0,3,8,Browser
83011,France,fr,F,False,False,638,0,0,0.0,14,0,0,3,8,Browser
83016,Danemark,en,F,False,False,98,0,0,0.0,1,0,0,3,8,Browser
83021,Danemark,en,F,False,True,14,0,0,0.0,0,0,11,4,8,iOS
83028,France,fr,F,False,False,678,0,0,0.0,0,2,0,4,8,Browser
